城市,楼宇名称,纬度,经度,高度(米),高度分档,用途分类,数据来源,近距簇,地址
雅加达,Autograph Tower,-6.1990493,106.8212511,336.6,≥80米,写字楼,官方(DPMPTSP),,Jl. M.H. Thamrin No.10
雅加达,INDONESIA 1,-6.1908624,106.8218884,301.6,≥80米,综合体,官方(DPMPTSP),,Jl. MH. Thamrin Kav 13  Jl. MH. Thamrin Kav 13
雅加达,Gama Tower,-6.2239792,106.8338422,285.0,≥80米,写字楼,官方(DPMPTSP),,JL. H.R. RASUNA SAID KAV. C-23 RT/RW 02/05
雅加达,JAKARTA MORI TOWER,-6.2164533,106.8151335,254.0,≥80米,写字楼,官方(DPMPTSP),,"Jl. Jend. Sudirman No.Kav 40-41, RT.9/RW.1"
雅加达,Trinity Tower,-6.2249319,106.8336276,246.0,≥80米,写字楼,官方(DPMPTSP),,"Jalan H R Rasuna Said Kav C22, Block IIB, Jakarta 12940"
雅加达,Langham Residence Jakarta,-6.2278687,106.8062116,243.5,≥80米,综合体,官方(DPMPTSP),,Jl. Jenderal Sudirman Lot 28 RT 005 RW 003
雅加达,The St. Regis Residences,-6.2057613,106.8277628,243.4,≥80米,综合体,官方(DPMPTSP),,Jl. H. R. Rasuna Said.Kav. B/4
雅加达,MANGKULUHUR TOWER A,-6.2210321,106.815852,226.0,≥80米,综合体,官方(DPMPTSP),,Jalan Jendral Gatot Subroto Kav. 1-3
雅加达,WISMA 46 Kota BNI,-6.2037428,106.8200669,226.0,≥80米,写字楼,官方(DPMPTSP),,Jl. Jenderal Sudirman Kav. 1 RT.10 rw.09
雅加达,KEMPINSKY PRIVATE RESIDENCE,-6.194815,106.8213769,225.8,≥80米,综合体,官方(DPMPTSP),,JL. MH THAMRIN NO 1. JAKARTA PUSAT
雅加达,Sahid Sudirman Center,-6.2108696,106.8185837,223.3,≥80米,写字楼,官方(DPMPTSP),,Jl. Jend Sudirman No.86
雅加达,MENARA ASTRA,-6.2073465,106.8211726,222.9,≥80米,非住宅,官方(DPMPTSP),,"Jl. Jendral Sudirman kav 5-6, RT.10/RW.11"
雅加达,MSIG,-6.2105781,106.822276,221.3,≥80米,写字楼,官方(DPMPTSP),,Jl. Setiabudi Raya
雅加达,Raffles Jakarta,-6.2241622,106.823911,216.9,≥80米,酒店,官方(DPMPTSP),,"Jl. Prof. DR. Satrio Kav. 3-5, RT.18/RW.05, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,RITZ CARLTON,-6.2285666,106.8272798,215.4,≥80米,酒店,官方(DPMPTSP),,Jl. Dr. Ide Anak Agung Gde Agung Kav. E 1-1 No. 1
雅加达,CAPITAL PLACE,-6.2324487,106.8201849,215.3,≥80米,写字楼,官方(DPMPTSP),,"Jl. Gatot Subroto No.Kav 18, RT.6/RW.1,"
雅加达,IFC Tower 2,-6.2116587,106.8211916,213.6,≥80米,写字楼,官方(DPMPTSP),JKT-001,Jl. Jend. Sudirman Kav. 22-23
雅加达,Soho @ Podomoro City,-6.1744936,106.7896421,213.0,≥80米,综合体,官方(DPMPTSP),JKT-002,Jl. Let. Jend. S. Parman Kav. 28
雅加达,Ciputra World 2 Jakarta Office Tower,-6.2210897,106.8194122,212.9,≥80米,写字楼,官方(DPMPTSP),,"Jl. Prof. DR. Satrio No.Kav 11, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,MENARA BCA GRAND INDONESIA,-6.1966689,106.8225425,211.6,≥80米,写字楼,官方(DPMPTSP),,JL. MH THAMRIN NO 1. JAKARTA PUSAT
雅加达,Bakrie Tower Gedung B,-6.2192914,106.8344134,211.1,≥80米,写字楼,官方(DPMPTSP),,"Kompleks Epicentrum, Jl. Taman Rasuna"
雅加达,Sky 57,-6.1986204,106.8188337,208.2,≥80米,综合体,官方(DPMPTSP),,Jl. Tlk. Betung I No.49
雅加达,Soho Capital,-6.1743658,106.7898572,207.3,≥80米,综合体,官方(DPMPTSP),JKT-002,Jl. Let. Jend. S. Parman Kav. 28
雅加达,The Plaza Office Tower,-6.1922602,106.8216727,206.8,≥80米,商场,官方(DPMPTSP),,"Jl. M.H. Thamrin No.Kav. 28-30, Kel. Gondangdia, Kec. Menteng, Jakarta Pusat"
雅加达,INDONESIA 1,-6.1915549,106.8218911,204.2,≥80米,商场,官方(DPMPTSP),,"Jl. MH. Thamrin Kav 13 RR5C+FV9, Gondangdia, Menteng, Central Jakarta City, Jakarta"
雅加达,Anandamaya Residence Tower 3,-6.2072186,106.8203407,204.1,≥80米,公寓,官方(DPMPTSP),,Jl. Jend Sudirman Kav 5-6 RT 10 RW 11
雅加达,Tower 1,-6.2019351,106.8163339,203.4,≥80米,公寓,官方(DPMPTSP),,Jalan Abdul Jalil No.Kav.1 RT.08 RW.09
雅加达,APARTEMEN KUNINGAN CITY,-6.2245876,106.8297841,203.3,≥80米,公寓,官方(DPMPTSP),,"Jl. Prof. DR. Satrio No.Kav. 18, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,APARTEMEN KUNINGAN CITY,-6.2244197,106.8303107,203.1,≥80米,公寓,官方(DPMPTSP),,"Jl. Prof. DR. Satrio No.Kav. 18, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,Tower D,-6.2100573,106.8241622,200.4,≥80米,公寓,官方(DPMPTSP),JKT-003,Jl. Setiabudi Raya No. 9
雅加达,Wisma Mulia,-6.2350866,106.823341,198.7,≥80米,写字楼,官方(DPMPTSP),,"Jl. Jend. Gatot Subroto No.42, Jakarta 12710"
雅加达,Gedung Soho @Podomoro City (Pertokoan dan Parkir),-6.1771295,106.7912559,198.6,≥80米,商业/店铺,官方(DPMPTSP),,"Letjen S. Parman No.RT.12, RW.6"
雅加达,Central Park Mall,-6.1785925,106.7905312,198.6,≥80米,综合体,官方(DPMPTSP),,Jl. Letjen S. Parman Kav.28
雅加达,Central Park Mall,-6.178624,106.7899785,198.6,≥80米,综合体,官方(DPMPTSP),,"Letjen S. Parman Kav.28 RT.12, RW.6"
雅加达,Langham Residence Jakarta,-6.2273013,106.806439,197.5,≥80米,综合体,官方(DPMPTSP),,Jl. Jenderal Sudirman Lot 28 RT 005 RW 003
雅加达,AXA Tower,-6.2244808,106.8287015,197.2,≥80米,写字楼,官方(DPMPTSP),JKT-004,"Kuningan City, Axa Tower, RT.14/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,RDTX Place,-6.2235481,106.8217523,197.0,≥80米,写字楼,官方(DPMPTSP),,"Jl. Prof. DR. Satrio 1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,INFINITY TOWER APARTEMENT,-6.2291569,106.8073678,196.8,≥80米,综合体,官方(DPMPTSP),,DISTRICT 8 SUDIRMAN CENTRAL BUSINESS DISTRICT (SCBD) JL. JENDRAL SUDIRMAN KAV 52-53 LOT 28 RT/006 RW/003
雅加达,Ciputra World 1 Jakarta (Office Tower),-6.2237337,106.8227695,196.1,≥80米,写字楼,官方(DPMPTSP),,"Jl. Prof. DR. Satrio Kav. 3-5, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940"
雅加达,SEAVIEW L,-6.1076143,106.7789212,195.8,≥80米,综合体,官方(DPMPTSP),,JALAN PLUIT KARANG AYU B1 UTARA
雅加达,SEAVIEW K,-6.1078757,106.7795696,195.4,≥80米,综合体,官方(DPMPTSP),,JALAN PLUIT KARANG AYU B1 UTARA
雅加达,Ascott Kuningan Jakarta,-6.2250171,106.8237987,195.1,≥80米,公寓,官方(DPMPTSP),,"Ciputra World, Jl. Prof. DR. Satrio No.1 Kav 3-5, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
雅加达,APL Tower Central Park,-6.1764633,106.7917663,192.9,≥80米,写字楼,官方(DPMPTSP),,"Letjen S. Parman St No.Kav. 28, RT.12/RW.7, Petamburan, Grogol petamburan, West Jakarta City, Jakarta 11440"
雅加达,Tower 2,-6.2022426,106.8166564,191.5,≥80米,公寓,官方(DPMPTSP),,"Jalan Abdul Jalil  No.Kav.1 RT.08 RW,09"
雅加达,THE RITZ CARLTON,-6.2238337,106.809805,191.4,≥80米,酒店,官方(DPMPTSP),,Jl. Jendral Sudirman Kav. 52-53 Lot. 3a RT.005/RW.001
雅加达,SEAVIEW J,-6.1081285,106.7801576,191.4,≥80米,综合体,官方(DPMPTSP),JKT-005,JALAN PLUIT KARANG AYU B1 UTARA
雅加达,SEAVIEW M,-6.1073729,106.778324,189.3,≥80米,综合体,官方(DPMPTSP),JKT-006,JALAN PLUIT KARANG AYU B1 UTARA
雅加达,Apartemen Pacific Place Residence,-6.2251293,106.8100905,188.3,≥80米,综合体,官方(DPMPTSP),,JL JEND SUDIRMAN KAV 52-53 LOT 3B RT.005/RW.001
